h,d,a,k,setPk_max,naysayerFors,naysayerForsHash,WotsHashNaysayer,wotsNaysayer,xmssNaysayer,setSign
8,7,24,10,66999,884806,1287274,1428208,1230388,691555,66708
8,7,26,9,66999,899468,1274023,1425821,1223768,689914,66708
8,7,30,8,not found,not found,not found,not found,not found,not found,not found
8,7,34,7,not found,not found,not found,not found,not found,not found,not found
8,7,39,6,not found,not found,not found,not found,not found,not found,not found
8,7,40,6,not found,not found,not found,not found,not found,not found,not found
8,7,47,5,not found,not found,not found,not found,not found,not found,not found
8,7,48,5,not found,not found,not found,not found,not found,not found,not found
8,7,59,4,not found,not found,not found,not found,not found,not found,not found
8,7,60,4,not found,not found,not found,not found,not found,not found,not found
9,2,4,59,66999,723697,1856853,1406054,1224405,690800,66708
9,2,4,60,66999,724706,1868200,1404856,1237555,691849,66696
9,2,5,47,66999,728882,1663965,1404225,1230769,687337,66696
9,2,5,48,66999,730245,1675809,1404060,1230904,688724,66708
9,2,6,39,66999,736976,1578808,1396921,1226432,687011,66708
9,2,6,40,66999,738585,1590477,1397788,1236097,688680,66696
9,2,7,34,66999,746410,1527334,1398415,1230383,688179,66696
9,2,8,30,66999,752775,1485492,1397036,1235353,687972,66708
9,2,9,26,66999,759431,1441829,1394307,1223766,687087,66708
9,2,10,24,66987,769144,1422562,1393629,1230477,688752,66708
9,2,12,20,66999,785139,1380530,1397041,1226516,688720,66708
9,2,13,18,66999,791892,1357894,1388054,1225045,687039,66696
9,2,14,17,66999,801091,1348676,1388307,1229623,688199,66708
9,2,15,16,66999,809584,1338691,1391542,1227225,688732,66708
9,2,16,15,66999,817376,1328207,1393544,1235245,688740,66708
9,2,17,14,66999,825105,1317258,1391275,1234756,688227,66708
9,2,18,13,66999,831954,1305603,1395152,1226515,687051,66708
9,2,20,12,66987,849652,1296697,1400538,1224165,688716,66696
9,2,24,10,66999,881923,1275999,1405780,1223523,688676,66708
9,2,26,9,66999,896584,1263842,1403871,1226202,687071,66708
9,2,30,8,not found,not found,not found,not found,not found,not found,not found
9,2,34,7,not found,not found,not found,not found,not found,not found,not found
9,2,39,6,not found,not found,not found,not found,not found,not found,not found
9,2,40,6,not found,not found,not found,not found,not found,not found,not found
9,2,47,5,not found,not found,not found,not found,not found,not found,not found
9,2,48,5,not found,not found,not found,not found,not found,not found,not found
9,2,59,4,not found,not found,not found,not found,not found,not found,not found
9,2,60,4,not found,not found,not found,not found,not found,not found,not found
9,3,4,59,66999,723697,1856853,1420862,1232995,690812,66708
9,3,4,60,66999,724778,1869568,1420889,1229957,691873,66708
9,3,5,47,66999,732035,1715547,1426384,1228392,690502,66708
9,3,5,48,66999,733398,1728433,1427956,1238723,691869,66708
9,3,6,39,66999,740130,1621608,1426327,1228387,690164,66708
9,3,6,40,66999,741739,1634465,1429758,1227577,691825,66708
9,3,7,34,66999,746374,1526914,1405211,1223002,688199,66708
9,3,8,30,66999,752775,1485372,1404578,1231486,688676,66708
9,3,9,26,66999,759431,1441829,1402459,1233592,687071,66696
9,3,10,24,66999,769144,1422562,1404332,1226583,688732,66708
9,3,12,20,66999,785103,1380278,1403819,1226242,688672,66708
9,3,13,18,66999,791892,1357942,1403113,1234234,687059,66708
9,3,14,17,66999,801055,1348460,1404177,1230961,688159,66708
9,3,15,16,66999,809584,1338691,1404734,1235851,688684,66696
9,3,16,15,66987,817340,1327943,1401280,1232112,688656,66708
9,3,17,14,66999,825069,1317078,1401390,1235631,688151,66696
9,3,18,13,66999,831990,1305723,1402476,1222199,687071,66708
9,3,20,12,66999,849688,1296889,1404391,1231835,688716,66708
9,3,24,10,66999,881923,1275999,1403835,1230579,688684,66708
9,3,26,9,66999,896584,1263842,1404994,1222817,687067,66684
9,3,30,8,not found,not found,not found,not found,not found,not found,not found
9,3,34,7,not found,not found,not found,not found,not found,not found,not found
9,3,39,6,not found,not found,not found,not found,not found,not found,not found
9,3,40,6,not found,not found,not found,not found,not found,not found,not found
9,3,47,5,not found,not found,not found,not found,not found,not found,not found
9,3,48,5,not found,not found,not found,not found,not found,not found,not found
9,3,59,4,not found,not found,not found,not found,not found,not found,not found
9,3,60,4,not found,not found,not found,not found,not found,not found,not found
9,4,4,59,66999,723661,1856133,1422933,1225284,690800,66708
9,4,4,60,66999,724742,1868836,1421522,1238049,691833,66708
9,4,5,47,66999,732035,1715547,1427363,1237982,690490,66708
9,4,5,48,66999,733362,1727845,1429356,1235665,691889,66708
9,4,6,39,66999,740130,1621608,1426391,1237074,690176,66696
9,4,6,40,66999,741739,1634513,1428065,1226012,691845,66708
9,4,7,34,66999,749576,1564582,1427214,1224901,691352,66696
9,4,8,30,66987,755895,1517926,1427274,1238065,691833,66708
9,4,9,26,66999,762587,1470439,1426331,1237066,690212,66708
9,4,10,24,66999,772265,1448745,1428570,1226369,691881,66696
9,4,12,20,66999,785139,1380530,1405977,1228148,688728,66708
9,4,13,18,66999,791892,1357990,1403426,1221545,687035,66708
9,4,14,17,66999,801091,1348676,1404726,1226989,688215,66708
9,4,15,16,66999,809584,1338691,1404288,1222271,688740,66708
9,4,16,15,66999,817304,1327895,1403895,1234904,688668,66708
9,4,17,14,66999,825105,1317258,1404589,1231057,688227,66708
9,4,18,13,66999,831990,1305687,1403327,1230443,687019,66708
9,4,20,12,66999,849652,1296733,1405471,1223226,688736,66708
9,4,24,10,66999,881923,1275999,1405295,1231855,688696,66708
9,4,26,9,66987,896584,1263842,1403975,1226186,687087,66708
9,4,30,8,not found,not found,not found,not found,not found,not found,not found
9,4,34,7,not found,not found,not found,not found,not found,not found,not found
9,4,39,6,not found,not found,not found,not found,not found,not found,not found
9,4,40,6,not found,not found,not found,not found,not found,not found,not found
9,4,47,5,not found,not found,not found,not found,not found,not found,not found
9,4,48,5,not found,not found,not found,not found,not found,not found,not found
9,4,59,4,not found,not found,not found,not found,not found,not found,not found
9,4,60,4,not found,not found,not found,not found,not found,not found,not found
9,5,4,59,66999,723650,1856806,1426639,1232980,690773,66708
9,5,4,60,66999,724695,1868789,1428460,1230852,691758,66708
9,5,5,47,66999,731988,1715428,1426052,1228052,690475,66708
9,5,5,48,66999,733279,1727318,1427480,1229680,691814,66708
9,5,6,39,66999,740083,1621525,1426573,1228661,690149,66708
9,5,6,40,66999,741728,1634790,1427993,1238688,691818,66708
9,5,7,34,66999,749529,1564439,1427685,1238448,691221,66708
9,5,8,30,66987,755884,1518371,1428275,1230599,691790,66708
9,5,9,26,66987,762540,1470392,1427092,1225259,690141,66708
9,5,10,24,66999,772218,1448626,1429462,1231558,691782,66708
9,5,12,20,66999,788238,1402655,1429109,1231245,691794,66708
9,5,13,18,66999,794968,1377762,1426927,1229291,690117,66708
9,5,14,17,66999,804167,1367537,1427436,1233829,691321,66708
9,5,15,16,66999,812672,1356439,1427492,1238323,691794,66708
9,5,16,15,66999,820489,1344986,1427572,1238379,691830,66708
9,5,17,14,66999,828147,1332589,1427599,1238982,691193,66684
9,5,18,13,66999,835105,1320448,1425686,1236373,690149,66696
9,5,20,12,66999,852756,1310350,1427328,1238327,691802,66708
9,5,24,10,66999,881840,1275820,1404310,1235471,688613,66696
9,5,26,9,66999,896537,1263771,1403390,1229858,687044,66708
9,5,30,8,not found,not found,not found,not found,not found,not found,not found
